card,date,t_2,t_4,t_6,t_7.313,t_8,t_10
MSD-0558,2022-07-21,0.006944444444444444,0.0006944444444444445,0.00034722222222222224,0.0,0.0,0.0
MSD-0558,2022-07-22,0.016337644656228726,0.008168822328114363,0.006126616746085773,0.002722940776038121,0.0013614703880190605,0.0
MSD-0904,2022-06-02,0.04957264957264957,0.03504273504273504,0.01623931623931624,0.009401709401709401,0.006837606837606838,0.0008547008547008547
MSD-0904,2022-06-03,0.017013888888888887,0.011458333333333333,0.0038194444444444443,0.0020833333333333333,0.0006944444444444445,0.0
MSD-0904,2022-06-04,0.0038194444444444443,0.0024305555555555556,0.0010416666666666667,0.0010416666666666667,0.0010416666666666667,0.00034722222222222224
MSD-0904,2022-06-05,0.00034722222222222224,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-0904,2022-06-06,0.0125,0.005902777777777778,0.0038194444444444443,0.002777777777777778,0.001736111111111111,0.0
MSD-0904,2022-06-07,0.059722222222222225,0.049652777777777775,0.03263888888888889,0.021180555555555557,0.01875,0.007291666666666667
MSD-0904,2022-06-08,0.03333333333333333,0.01840277777777778,0.011805555555555555,0.007638888888888889,0.004861111111111111,0.001388888888888889
MSD-0904,2022-06-09,0.06840277777777778,0.04756944444444444,0.02673611111111111,0.013194444444444444,0.010416666666666666,0.0024305555555555556
MSD-0904,2022-06-10,0.07708333333333334,0.06180555555555556,0.03958333333333333,0.025347222222222222,0.01597222222222222,0.0038194444444444443
MSD-0904,2022-06-11,0.16215277777777778,0.12708333333333333,0.0875,0.058333333333333334,0.04479166666666667,0.013888888888888888
MSD-0904,2022-06-12,0.11909722222222222,0.08194444444444444,0.04722222222222222,0.025347222222222222,0.015277777777777777,0.003472222222222222
MSD-0904,2022-06-13,0.10798611111111112,0.06736111111111111,0.03576388888888889,0.016319444444444445,0.009027777777777777,0.001736111111111111
MSD-0904,2022-06-14,0.03229166666666667,0.01597222222222222,0.007638888888888889,0.002777777777777778,0.0020833333333333333,0.00034722222222222224
MSD-0904,2022-06-15,0.04201388888888889,0.021180555555555557,0.006597222222222222,0.0038194444444444443,0.0024305555555555556,0.00034722222222222224
MSD-0904,2022-06-16,0.035069444444444445,0.016666666666666666,0.00625,0.003125,0.003125,0.0010416666666666667
MSD-0904,2022-06-17,0.015277777777777777,0.008680555555555556,0.003125,0.001388888888888889,0.00034722222222222224,0.0
MSD-0904,2022-06-18,0.025694444444444443,0.019097222222222224,0.013194444444444444,0.010416666666666666,0.006597222222222222,0.0024305555555555556
MSD-0904,2022-06-19,0.006597222222222222,0.0024305555555555556,0.00034722222222222224,0.0,0.0,0.0
MSD-0904,2022-06-20,0.011458333333333333,0.0045138888888888885,0.001388888888888889,0.0006944444444444445,0.0,0.0
MSD-0904,2022-06-21,0.012152777777777778,0.0024305555555555556,0.00034722222222222224,0.0,0.0,0.0
MSD-0904,2022-06-22,0.012152777777777778,0.004166666666666667,0.001388888888888889,0.0006944444444444445,0.00034722222222222224,0.0
MSD-0904,2022-06-23,0.009375,0.003125,0.00034722222222222224,0.0,0.0,0.0
MSD-0904,2022-06-24,0.0020833333333333333,0.001388888888888889,0.00034722222222222224,0.0,0.0,0.0
MSD-0904,2022-06-25,0.01597222222222222,0.011111111111111112,0.00625,0.004861111111111111,0.003125,0.0006944444444444445
MSD-0904,2022-06-26,0.009375,0.007291666666666667,0.001736111111111111,0.00034722222222222224,0.0,0.0
MSD-0904,2022-06-27,0.00034722222222222224,0.0,0.0,0.0,0.0,0.0
MSD-0904,2022-06-28,0.0,0.0,0.0,0.0,0.0,0.0
